English name,scientific name,authority,range,order,family,extinct,extinct year
Reunion Kestrel,Falco duboisi,"Cowles, 1994","formerly Réunion; extinct, may have survived until the 1670s",Falconiformes,Falconidae (Falcons and Caracaras),1.0,1672
Norfolk Island Kaka,Nestor productus,"(Gould, 1836)","formerly Norfolk and Phillip islands; extinct, last reported 1851",Psittaciformes,Strigopidae (New Zealand Parrots),1.0,1851
Oceanic Eclectus,Eclectus infectus,"Steadman, 2006","formerly Vanuatu, the Tonga Archipelago, and possibly Fiji; extinct",Psittaciformes,Psittaculidae (Old World Parrots),1.0,1793
Mascarene Parrot,Mascarinus mascarinus,"(Linnaeus, 1771)","formerly Réunion; extinct, last reported 1834",Psittaciformes,Psittaculidae (Old World Parrots),1.0,1834
Seychelles Parakeet,Psittacula wardi,"(Newton, 1867)","formerly Seychelles; extinct, last reported 1900",Psittaciformes,Psittaculidae (Old World Parrots),1.0,1900
Newton's Parakeet,Psittacula exsul,"(Newton, 1872)","formerly Mascarene Islands; extinct, last reported 1875",Psittaciformes,Psittaculidae (Old World Parrots),1.0,1875
Mauritius Gray Parrot,Lophopsittacus bensoni,"Holyoak, 1973","formerly Mauritius and Réunion; extinct, last record from 1759",Psittaciformes,Psittaculidae (Old World Parrots),1.0,1759
Broad-billed Parrot,Lophopsittacus mauritianus,"(Owen, 1866)","formerly Mauritius; extinct, last record from between 1673-1675",Psittaciformes,Psittaculidae (Old World Parrots),1.0,1675
Rodrigues Parrot,Necropsittacus rodricanus,"(Milne-Edwards, 1867)","formerly Rodrigues Island; extinct, last observed in 1761",Psittaciformes,Psittaculidae (Old World Parrots),1.0,1761
Raiatea Parakeet,Cyanoramphus ulietanus,"(Gmelin, 1788)","formerly Raiatea (eastern Society Islands); extinct, last reported 1773",Psittaciformes,Psittaculidae (Old World Parrots),1.0,1773
Black-fronted Parakeet,Cyanoramphus zealandicus,"(Latham, 1790)","formerly Society Islands; extinct, last reported 1850",Psittaciformes,Psittaculidae (Old World Parrots),1.0,1850
Macquarie Parakeet,Cyanoramphus erythrotis,"(Wagler, 1832)",formerly Macquarie Island; extinct,Psittaciformes,Psittaculidae (Old World Parrots),1.0,xxxx
Paradise Parrot,Psephotellus pulcherrimus,"(Gould, 1845)","formerly east-central Australia; extinct, last reported 1927",Psittaciformes,Psittaculidae (Old World Parrots),1.0,1927
New Caledonian Lorikeet,Vini diadema,"(Verreaux & des Murs, 1860)","formerly New Caledonia; extinct, last reported 1860",Psittaciformes,Psittaculidae (Old World Parrots),1.0,1860
Martinique Parrot,Amazona martinicana,"Clark, 1905","formerly Martinique; extinct, last reported in 1779",Psittaciformes,Psittacidae (New World and African Parrots),1.0,1779
Guadeloupe Parrot,Amazona violacea,"(Gmelin, 1788)","formerly Guadeloupe (central Lesser Antilles); extinct, last reported in 1779",Psittaciformes,Psittacidae (New World and African Parrots),1.0,1779
Carolina Parakeet,Conuropsis carolinensis,"(Linnaeus, 1758)",,Psittaciformes,Psittacidae (New World and African Parrots),1.0,1918
Cuban Macaw,Ara tricolor,"(Bechstein, 1811)","formerly Cuba; extinct, last reported 1864",Psittaciformes,Psittacidae (New World and African Parrots),1.0,1864
Puerto Rican Parakeet,Psittacara maugei,"de Souancé, 1856","formerly Puerto Rico and Isla de Mona (west of Puerto Rico); extinct, extirpated from Puerto Rico by the mid-1800s, and on Mona Island around 1892",Psittaciformes,Psittacidae (New World and African Parrots),1.0,1892
Guadeloupe Parakeet,Psittacara labati,"(Rothschild, 1905)","formerly Guadeloupe (central Lesser Antilles); extinct, probably by sometime in the late 1700s",Psittaciformes,Psittacidae (New World and African Parrots),1.0,xxxx
Stephens Island Wren,Traversia lyalli,"Rothschild, 1894","formerly Stephens Island (New Zealand); extinct, last reported 1894",Passeriformes,Acanthisittidae (New Zealand Wrens),1.0,1894
Bush Wren,Xenicus longipes,"(Gmelin, 1789)",,Passeriformes,Acanthisittidae (New Zealand Wrens),1.0,1972
Chatham Island Bellbird,Anthornis melanocephala,"Gray, 1843",formerly Chatham Islands; extinct ca. 1906,Passeriformes,Meliphagidae (Honeyeaters),1.0,1906
Lord Howe Gerygone,Gerygone insularis,"Ramsay, 1878","formerly Lord Howe Island; extinct, last reported 1928",Passeriformes,Acanthizidae (Thornbills and Allies),1.0,1928
North Island Piopio,Turnagra tanagra,"(Schlegel, 1866)","formerly New Zealand (North Island); extinct, last confirmed report in 1902",Passeriformes,Oriolidae (Old World Orioles),1.0,1902
South Island Piopio,Turnagra capensis,"(Sparrman, 1787)",,Passeriformes,Oriolidae (Old World Orioles),1.0,1897
Maupiti Monarch,Pomarea pomarea,"(Lesson & Garnot, 1828)",formerly highlands of Maupiti Island (Society Islands); extinct,Passeriformes,Monarchidae (Monarch Flycatchers),1.0,xxxx
Eiao Monarch,Pomarea fluxa,"Murphy & Mathews, 1928",formerly Eioa (northern Marquesas Islands); extinct,Passeriformes,Monarchidae (Monarch Flycatchers),1.0,xxxx
Nuku Hiva Monarch,Pomarea nukuhivae,"Murphy & Mathews, 1928","formerly Marquesas Islands (Nuku Hiva); extinct, last reported in the 1930s",Passeriformes,Monarchidae (Monarch Flycatchers),1.0,1930s
Guam Flycatcher,Myiagra freycineti,"Oustalet, 1881","formerly Guam (southern Mariana Islands); extinct, last reported 1983",Passeriformes,Monarchidae (Monarch Flycatchers),1.0,1983
